 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4,Min5,Max5,X5,Y5,Min6,Max6,X6,Y6,Min7,Max7,X7,Y7,Min8,Max8,X8,Y8,Min9,Max9,X9,Y9,Min10,Max10,X10,Y10,Min11,Max11,X11,Y11,Min12,Max12,X12,Y12,Min13,Max13,X13,Y13
51,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,4,60.321,52.001,1,4,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,3,40,47.841,82.242,0,2,47.361,84.962
52,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,5,60.321,52.001,0,2,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,1,17,47.841,82.242,0,7,47.361,84.962
53,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,4,60.321,52.001,0,1,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,1,6,47.841,82.242,1,17,47.361,84.962
54,0,1,63.281,47.681,0,0,62.001,47.681,2,30,63.922,46.161,0,1,60.321,52.001,0,0,59.201,50.881,0,1,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,1,52.801,65.282,0,0,47.921,79.522,0,3,47.841,82.242,2,71,47.361,84.962
55,0,2,63.281,47.681,0,0,62.001,47.681,5,107,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,1,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,1,52.801,65.282,0,0,47.921,79.522,0,1,47.841,82.242,2,124,47.361,84.962
56,1,2,63.281,47.681,0,1,62.001,47.681,6,220,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,1,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,4,140,47.361,84.962
57,1,2,63.281,47.681,0,1,62.001,47.681,5,136,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,13,128,47.361,84.962
58,0,1,63.281,47.681,0,0,62.001,47.681,1,4,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,12,95,47.361,84.962
59,0,1,63.281,47.681,0,0,62.001,47.681,0,1,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,9,91,47.361,84.962
60,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,3,62,47.361,84.962
